Library	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-wt-mesc-a1h5-hkt-f11-r2-c2_S1115_	140	0.000125806	0.9286	313088	313088	74.086183	0.040992	0.00823876486580579	0.0132495913275402	58	0.558823529411765	0.416694	0.111232
f1216-wt-mesc-a1h5-hkt-f11-r2-c3_S1116_	132	0.00143304	0.9281	532054	532054	72.997893	0.039673	0.0138140623771066	0.0252179638090298	96	0.451612903225806	0.418386	0.151815
f1216-wt-mesc-a1h5-hkt-f11-r2-c4_S1117_	117	0.0121076	0.9535	202282	202282	71.33786	0.020625	0.00523434767350621	0.16216750716899	36	0.485714285714286	0.423578	NA
f1216-wt-mesc-a1h5-hkt-f11-r2-c5_S1118_	135	0.00017697	0.9722	583210	583210	73.239761	0.045181	0.0151052935200334	0.152734000274085	102	0.526315789473684	0.420084	0.153749
f1216-wt-mesc-a1h5-hkt-f11-r2-c6_S1119_	136	0.00138208	0.9689	628970	628970	73.156987	0.045061	0.0162741235302706	0.0830246806743051	112	0.462962962962963	0.418067	0.159448
f1216-wt-mesc-a1h5-hkt-f11-r3-c2_S1120_	133	0.00717976	0.9424	527724	527724	73.141104	0.039104	0.0137366545998929	0.018377071581234	96	0.545454545454545	0.417627	0.155943
f1216-wt-mesc-a1h5-hkt-f11-r3-c3_S1121_	139	0.00899329	0.9571	545274	545274	73.679429	0.046956	0.0141811101007448	0.333559782608696	91	0.6	0.424141	0.144089
f1216-wt-mesc-a1h5-hkt-f11-r3-c4_S1122_	130	0.0101749	0.9519	376094	376094	73.2611	0.038432	0.00981264479109957	0.0252052148720425	69	0.444444444444444	0.416721	0.129604
f1216-wt-mesc-a1h5-hkt-f11-r3-c5_S1123_	134	0.00684144	0.9466	603640	603640	73.259572	0.043546	0.0156654440968443	0.0790518844008788	108	0.5	0.421486	0.157714
f1216-wt-mesc-a1h5-hkt-f11-r3-c6_S1124_	125	0.0202583	0.9101	379816	379816	72.882967	0.039661	0.0098460061303593	0.099299766588863	69	0.567567567567568	0.41984	0.124117
f1216-wt-mesc-a1h5-hkt-f11-r4-c2_S1125_	133	0.00681688	0.9267	475350	475350	73.154469	0.038515	0.0123832063411815	0.0270491616807334	89	0.352941176470588	0.41568	0.148335
f1216-wt-mesc-a1h5-hkt-f11-r4-c3_S1126_	136	0.00232791	0.9764	582776	582776	73.141315	0.044837	0.0150791947153176	0.0313018690914339	105	0.470588235294118	0.416778	0.151387
f1216-wt-mesc-a1h5-hkt-f11-r4-c4_S1127_	134	0.000230518	0.9668	565844	565844	73.232053	0.044528	0.0146639889607535	0.0199087380847989	102	0.580645161290323	0.414898	0.153648
f1216-wt-mesc-a1h5-hkt-f11-r4-c5_S1128_	133	0.00785361	0.9711	465562	465562	73.429606	0.044922	0.0120927145181319	0.0259194395796848	86	0.615384615384615	0.414635	0.134889
f1216-wt-mesc-a1h5-hkt-f11-r4-c6_S1129_	132	0.0173253	0.9649	557200	557200	73.28052	0.041228	0.0144994399755505	0.020677613638593	103	0.5	0.414295	0.155633
f1216-wt-mesc-a1h5-hkt-f11-r5-c2_S1130_	137	0.00159524	0.9596	530812	530812	73.649528	0.04411	0.0138405979879931	0.0248473789732153	95	0.555555555555556	0.416162	0.146928
