Library	Quality	Median_insert_size	Adapters_at_least_50bp	Alignment_rate	Initial_reads_aligned	Postfiltering_reads_aligned	Mean_read_length	Duplication_rate	Coverage_depth	Background	Reads_per_Mb	Percent_WC	Mean_GC	Coverage_after_1Gb_sequencing
f1216-wt-mesc-a1h5-hkt-f12-r3-c4_S1147_	G	128	0.00725296	0.9585	377390	377390	73.11274	0.036604	0.0098451995	0.0248457656	70	0.3870967742	0.416764	0.139508
f1216-wt-mesc-a1h5-hkt-f12-r3-c5_S1148_	G	131	0.0046756	0.9566	576348	576348	73.081111	0.041343	0.0149551032	0.0356142087	106	0.4146341463	0.416373	0.158198
f1216-wt-mesc-a1h5-hkt-f12-r3-c6_S1149_	G	126	0.00704205	0.9567	547960	547960	72.267306	0.039543	0.0140865579	0.0461052539	100	0.4871794872	0.418169	0.152221
f1216-wt-mesc-a1h5-hkt-f12-r4-c2_S1150_	G	126	0.00101709	0.9754	645918	645918	72.291504	0.042866	0.0165528823	0.0486046735	120	0.4871794872	0.4166	0.164994
f1216-wt-mesc-a1h5-hkt-f12-r4-c3_S1151_	G	133	0.00708411	0.9574	588134	588134	72.954884	0.041106	0.0152383342	0.0344728204	108	0.5945945946	0.41674	0.152475
f1216-wt-mesc-a1h5-hkt-f12-r4-c4_S1152_	G	129	0.0005565	0.9443	567584	567584	72.788215	0.040604	0.0146799762	0.0359921592	103	0.4166666667	0.417954	0.156832
f1216-wt-mesc-a1h5-hkt-f12-r4-c5_S1153_	G	129	0.00531159	0.9761	488116	488116	73.043805	0.043236	0.0126341926	0.0412789265	89	0.5	0.414945	0.140738
f1216-wt-mesc-a1h5-hkt-f12-r4-c6_S1154_	G	129	0.0124368	0.9702	610362	610362	72.768472	0.040861	0.0157778757	0.0321736767	111	0.5348837209	0.415313	0.163411
f1216-wt-mesc-a1h5-hkt-f12-r5-c2_S1155_	G	133	0.00130565	0.9629	521416	521416	73.261189	0.042434	0.0135476282	0.0295206158	97	0.5142857143	0.415973	0.147625
f1216-wt-mesc-a1h5-hkt-f12-r5-c3_S1156_	G	131	0.000174525	0.9688	596448	596448	72.859579	0.043283	0.0153985196	0.0443042344	110	0.4571428571	0.415729	NA
f1216-wt-mesc-a1h5-hkt-f12-r5-c4_S1157_	G	130	0.00069829	0.9742	590732	590732	72.855369	0.044677	0.0152278479	0.027222003	106	0.5	0.415119	0.149933
